max degree,Score
H3ngam3h_h,923
Azaadiiyeiraan7,702
HiwaTube,687
Farcrit,495
Hamiparvane,382
M005h00,260
Agha_rashti2,259
IspahbadhSina,221
YaarDabestaani,184
Redrighthand89,138
,
max inpute degree,
IsraelPersian,12
GhorbaniiNiyak,11
IDFFarsi,10
Alikarimi_ak8,10
Mojtabapacino,9
Agha_rashti2,8
Mamadporii,8
SHAYA9000,8
Pouriazeraati,8
1500tasvir,8
,
max output degree,
H3ngam3h_h,918
Azaadiiyeiraan7,700
HiwaTube,684
Farcrit,495
Hamiparvane,381
M005h00,255
Agha_rashti2,252
IspahbadhSina,221
YaarDabestaani,177
Redrighthand89,137
,
Rank‬‬‫‪Page,
Alikarimi_ak8,0.000392
VOAfarsi,0.000379
IsraelPersian,0.000378
Euronews_pe,0.000376
Bbcpersian,0.000376
USABehFarsi,0.000376
IDFFarsi,0.000373
Pouriazeraati,0.000371
IranIntl,0.000368
BeniSabti,0.000367
,
HIT(Authority),
IsraelPersian,0.06278542
Mojtabapacino,0.061105493
GhorbaniiNiyak,0.060163613
Mamadporii,0.059877913
NR2OH,0.05979554
Pouriazeraati,0.059671324
TheLastFist,0.05911869
1500tasvir,0.05847158
Naseram0110,0.05763015
Arash_sobhani,0.05740968
,
HIT(Hub),
H3ngam3h_h,0.73287445
Azaadiiyeiraan7,0.48231602
Farcrit,0.25090545
Hamiparvane,0.23506176
M005h00,0.21978125
HiwaTube,0.1525154
Agha_rashti2,0.10194852
Cryptosamz,0.09421141
YaarDabestaani,0.07600674
5arhang,0.07167073
,
,
closeness centrality,
IDFFarsi,1
Walterakam,1
Animebazi,1
Mosolchi,1
Kingmidasekhar,1
HiwaTube,0.773418735
HananyaPersian,0.7058823529
Agha_rashti2,0.5726141079
Azaadiiyeiraan7,0.429618001
H3ngam3h_h,0.4148559879
,
Eigen vector,
Alikarimi_ak8,1
IDFFarsi,0.9047636417
GhorbaniiNiyak,0.8872960819
IsraelPersian,0.805438119
Visegrad24,0.7466461117
Iranianpappppi3,0.692447611
Afkari_saeed,0.6766815592
Agha_rashti2,0.6744324529
F_karamizand,0.6669052712
TonyFreeman2015,0.6458902099
,
Betweenness,
Agha_rashti2,9750.666667
H3ngam3h_h,9186.666667
HiwaTube,7845.083333
Azaadiiyeiraan7,5640.25
Mobarez_nastooh,3326.25
Tannaz13131313,3241.916667
Cryptosamz,3127.166667
YaarDabestaani,2518.083333
M005h00,1156.833333
VidaSarafraz,690
,
Harmonic closeness,
IDFFarsi,1
Walterakam,1
Animebazi,1
Mosolchi,1
Kingmidasekhar,1
HiwaTube,0.8535196687
HananyaPersian,0.7916666667
Agha_rashti2,0.6288819876
Azaadiiyeiraan7,0.5767018541
H3ngam3h_h,0.4148559879